YEAR,CAUSE_NAME,region,DEATHS,AADR
1999,Unintentional Injuries,Alabama,2313,52.17
1999,Unintentional Injuries,Alaska,294,55.91
1999,Unintentional Injuries,Arizona,2214,44.79
1999,Unintentional Injuries,Arkansas,1287,47.56
1999,Unintentional Injuries,California,9198,28.71
1999,Unintentional Injuries,Colorado,1519,38.98
1999,Unintentional Injuries,Connecticut,1034,29.31
1999,Unintentional Injuries,Delaware,267,35.25
1999,Unintentional Injuries,District of Columbia,161,28.38
1999,Unintentional Injuries,Florida,5961,35.73
1999,Unintentional Injuries,Georgia,3078,41.52
1999,Unintentional Injuries,Hawaii,293,24.33
1999,Unintentional Injuries,Idaho,597,48.32
1999,Unintentional Injuries,Illinois,4125,33.69
1999,Unintentional Injuries,Indiana,2309,38.43
1999,Unintentional Injuries,Iowa,1123,35.24
1999,Unintentional Injuries,Kansas,1126,40.68
1999,Unintentional Injuries,Kentucky,1730,43.29
1999,Unintentional Injuries,Louisiana,1940,44.66
1999,Unintentional Injuries,Maine,458,34.87
1999,Unintentional Injuries,Maryland,1296,25.93
1999,Unintentional Injuries,Massachusetts,1303,19.61
1999,Unintentional Injuries,Michigan,3188,32.75
1999,Unintentional Injuries,Minnesota,1772,35.75
1999,Unintentional Injuries,Mississippi,1642,58.85
1999,Unintentional Injuries,Missouri,2465,43.22
1999,Unintentional Injuries,Montana,461,50.25
1999,Unintentional Injuries,Nebraska,668,37.34
1999,Unintentional Injuries,Nevada,710,38.48
1999,Unintentional Injuries,New Hampshire,329,27.53
1999,Unintentional Injuries,New Jersey,2227,26.22
1999,Unintentional Injuries,New Mexico,969,55.86
1999,Unintentional Injuries,New York,4797,25.15
1999,Unintentional Injuries,North Carolina,3290,42.14
1999,Unintentional Injuries,North Dakota,267,38.42
1999,Unintentional Injuries,Ohio,3630,31.82
1999,Unintentional Injuries,Oklahoma,1609,46.26
1999,Unintentional Injuries,Oregon,1199,34.67
1999,Unintentional Injuries,Pennsylvania,4614,35.27
1999,Unintentional Injuries,Rhode Island,243,21.47
1999,Unintentional Injuries,South Carolina,1901,49.18
1999,Unintentional Injuries,South Dakota,351,44.83
1999,Unintentional Injuries,Tennessee,2677,47.78
1999,Unintentional Injuries,Texas,7227,37.56
1999,Unintentional Injuries,Utah,650,33.37
1999,Unintentional Injuries,Vermont,209,34.23
1999,Unintentional Injuries,Virginia,2214,33.17
1999,Unintentional Injuries,Washington,1914,33.29
1999,Unintentional Injuries,West Virginia,798,41.97
1999,Unintentional Injuries,Wisconsin,1955,35.62
1999,Unintentional Injuries,Wyoming,258,52.83
2000,Unintentional Injuries,Alabama,2093,47.02
2000,Unintentional Injuries,Alaska,343,64.48
2000,Unintentional Injuries,Arizona,2326,46.25
2000,Unintentional Injuries,Arkansas,1267,46.46
2000,Unintentional Injuries,California,8577,26.46
2000,Unintentional Injuries,Colorado,1702,42.55
2000,Unintentional Injuries,Connecticut,1175,32.81
2000,Unintentional Injuries,Delaware,290,37.54
2000,Unintentional Injuries,District of Columbia,204,35.73
2000,Unintentional Injuries,Florida,6267,37.29
2000,Unintentional Injuries,Georgia,3103,40.83
2000,Unintentional Injuries,Hawaii,343,28.2
2000,Unintentional Injuries,Idaho,518,41.45
2000,Unintentional Injuries,Illinois,4041,32.77
2000,Unintentional Injuries,Indiana,2139,35.37
2000,Unintentional Injuries,Iowa,1070,33.43
2000,Unintentional Injuries,Kansas,1054,38.04
2000,Unintentional Injuries,Kentucky,1838,45.65
2000,Unintentional Injuries,Louisiana,2006,45.88
2000,Unintentional Injuries,Maine,407,30.87
2000,Unintentional Injuries,Maryland,1182,23.25
2000,Unintentional Injuries,Massachusetts,1357,20.21
2000,Unintentional Injuries,Michigan,3220,32.87
2000,Unintentional Injuries,Minnesota,1711,34.28
2000,Unintentional Injuries,Mississippi,1653,58.88
2000,Unintentional Injuries,Missouri,2398,41.9
2000,Unintentional Injuries,Montana,495,53.94
2000,Unintentional Injuries,Nebraska,640,35.3
2000,Unintentional Injuries,Nevada,730,38.65
2000,Unintentional Injuries,New Hampshire,321,26.27
2000,Unintentional Injuries,New Jersey,2284,26.74
2000,Unintentional Injuries,New Mexico,995,56.8
2000,Unintentional Injuries,New York,4244,22.04
2000,Unintentional Injuries,North Carolina,3525,44.68
2000,Unintentional Injuries,North Dakota,248,35.29
2000,Unintentional Injuries,Ohio,3492,30.53
2000,Unintentional Injuries,Oklahoma,1566,44.89
2000,Unintentional Injuries,Oregon,1248,35.75
2000,Unintentional Injuries,Pennsylvania,4583,35.24
2000,Unintentional Injuries,Rhode Island,235,20.45
2000,Unintentional Injuries,South Carolina,1974,50.03
2000,Unintentional Injuries,South Dakota,321,41.16
2000,Unintentional Injuries,Tennessee,2743,48.54
2000,Unintentional Injuries,Texas,7407,37.64
2000,Unintentional Injuries,Utah,665,34.21
2000,Unintentional Injuries,Vermont,234,38.05
2000,Unintentional Injuries,Virginia,2396,35.35
2000,Unintentional Injuries,Washington,2049,35.46
2000,Unintentional Injuries,West Virginia,817,43.23
2000,Unintentional Injuries,Wisconsin,2159,38.92
2000,Unintentional Injuries,Wyoming,245,50.78
2001,Unintentional Injuries,Alabama,2211,49.45
2001,Unintentional Injuries,Alaska,345,60.54
2001,Unintentional Injuries,Arizona,2475,47.59
2001,Unintentional Injuries,Arkansas,1277,46.52
2001,Unintentional Injuries,California,8132,24.54
2001,Unintentional Injuries,Colorado,1720,41.64
2001,Unintentional Injuries,Connecticut,1056,29.47
2001,Unintentional Injuries,Delaware,290,36.61
2001,Unintentional Injuries,District of Columbia,223,38.37
2001,Unintentional Injuries,Florida,6969,40.49
2001,Unintentional Injuries,Georgia,3396,43.84
2001,Unintentional Injuries,Hawaii,372,29.83
2001,Unintentional Injuries,Idaho,568,44.15
2001,Unintentional Injuries,Illinois,4077,32.81
2001,Unintentional Injuries,Indiana,2185,35.79
2001,Unintentional Injuries,Iowa,1051,32.45
2001,Unintentional Injuries,Kansas,1156,41.39
2001,Unintentional Injuries,Kentucky,1990,49.05
2001,Unintentional Injuries,Louisiana,2029,46.45
2001,Unintentional Injuries,Maine,490,36.32
2001,Unintentional Injuries,Maryland,1339,25.77
2001,Unintentional Injuries,Massachusetts,1506,22.19
2001,Unintentional Injuries,Michigan,3291,33.25
2001,Unintentional Injuries,Minnesota,1797,35.39
2001,Unintentional Injuries,Mississippi,1571,55.98
2001,Unintentional Injuries,Missouri,2455,42.46
2001,Unintentional Injuries,Montana,468,50.13
2001,Unintentional Injuries,Nebraska,633,34.78
2001,Unintentional Injuries,Nevada,739,37.04
2001,Unintentional Injuries,New Hampshire,374,30.25
2001,Unintentional Injuries,New Jersey,2405,27.8
2001,Unintentional Injuries,New Mexico,1020,57.68
2001,Unintentional Injuries,New York,4982,25.65
2001,Unintentional Injuries,North Carolina,3438,42.64
2001,Unintentional Injuries,North Dakota,238,33.85
2001,Unintentional Injuries,Ohio,3857,33.42
2001,Unintentional Injuries,Oklahoma,1700,48.49
2001,Unintentional Injuries,Oregon,1313,36.89
2001,Unintentional Injuries,Pennsylvania,4552,34.6
2001,Unintentional Injuries,Rhode Island,293,25.34
2001,Unintentional Injuries,South Carolina,1960,49.04
2001,Unintentional Injuries,South Dakota,382,47.25
2001,Unintentional Injuries,Tennessee,2709,47.27
2001,Unintentional Injuries,Texas,7920,39.7
2001,Unintentional Injuries,Utah,643,32.48
2001,Unintentional Injuries,Vermont,230,36.81
2001,Unintentional Injuries,Virginia,2432,35.23
2001,Unintentional Injuries,Washington,2072,35.24
2001,Unintentional Injuries,West Virginia,834,44.72
