YEAR,CAUSE_NAME,region,DEATHS,AADR
1999,All Causes,Alaska,2708,838.9
2000,All Causes,Alaska,2914,869.1
2001,All Causes,Alaska,2974,831.3
2002,All Causes,Alaska,3030,802.4
2004,All Causes,Alaska,3051,756.7
2005,All Causes,Alaska,3168,762.3
2003,All Causes,Alaska,3180,843.5
2006,All Causes,Alaska,3354,787.6
2007,All Causes,Alaska,3463,780.6
2008,All Causes,Alaska,3494,761.3
2009,All Causes,Alaska,3618,763.8
2010,All Causes,Alaska,3728,771.5
2011,All Causes,Alaska,3849,747.8
2012,All Causes,Alaska,3912,731.4
2000,All Causes,Wyoming,3920,851.8
2004,All Causes,Wyoming,3955,794.8
2013,All Causes,Alaska,3997,724.4
2001,All Causes,Wyoming,4029,858.8
1999,All Causes,Wyoming,4042,895.4
2005,All Causes,Wyoming,4099,806.5
2003,All Causes,Wyoming,4172,857.7
2002,All Causes,Wyoming,4174,878.2
2008,All Causes,Wyoming,4227,778.9
2007,All Causes,Wyoming,4266,806.5
2009,All Causes,Wyoming,4283,769.6
2006,All Causes,Wyoming,4311,831.1
2011,All Causes,Wyoming,4387,754.6
2010,All Causes,Wyoming,4438,778.8
2012,All Causes,Wyoming,4481,748.3
2013,All Causes,Wyoming,4516,731.7
2011,All Causes,District of Columbia,4589,755.9
2012,All Causes,District of Columbia,4650,757.2
2010,All Causes,District of Columbia,4672,792.4
2013,All Causes,District of Columbia,4719,752
2009,All Causes,District of Columbia,4834,833.3
1999,All Causes,Vermont,4993,812.9
2004,All Causes,Vermont,4995,749.4
2009,All Causes,Vermont,5034,683.2
2006,All Causes,Vermont,5048,728
2005,All Causes,Vermont,5066,751.6
2002,All Causes,Vermont,5075,786.8
2003,All Causes,Vermont,5120,779.7
2000,All Causes,Vermont,5127,821.8
2008,All Causes,District of Columbia,5140,897.6
2007,All Causes,Vermont,5179,733
2007,All Causes,District of Columbia,5188,911.2
2001,All Causes,Vermont,5201,819.6
2008,All Causes,Vermont,5211,722.5
2006,All Causes,District of Columbia,5344,951.7
2010,All Causes,Vermont,5380,718.7
2011,All Causes,Vermont,5433,711
2004,All Causes,District of Columbia,5454,972.1
2005,All Causes,District of Columbia,5483,970.6
2012,All Causes,Vermont,5491,700.1
2007,All Causes,North Dakota,5561,680.4
2003,All Causes,District of Columbia,5573,993
2004,All Causes,North Dakota,5601,702.2
2013,All Causes,Vermont,5639,710.6
2005,All Causes,North Dakota,5744,716.3
2002,All Causes,District of Columbia,5851,1034.1
2000,All Causes,North Dakota,5856,761.8
2006,All Causes,North Dakota,5868,724.4
2008,All Causes,North Dakota,5871,713.3
2002,All Causes,North Dakota,5892,755.5
2009,All Causes,North Dakota,5914,712.7
2010,All Causes,North Dakota,5944,704.3
2001,All Causes,District of Columbia,5951,1049.9
2011,All Causes,North Dakota,5965,697.4
2000,All Causes,District of Columbia,6001,1061.2
2012,All Causes,North Dakota,6038,701.2
2001,All Causes,North Dakota,6048,780.2
1999,All Causes,District of Columbia,6076,1087.3
2003,All Causes,North Dakota,6090,776.1
1999,All Causes,North Dakota,6103,796.8
2013,All Causes,North Dakota,6233,709.7
1999,All Causes,Delaware,6666,881.6
2007,All Causes,South Dakota,6826,712.9
2004,All Causes,South Dakota,6833,752.4
2002,All Causes,Delaware,6861,849.3
2000,All Causes,Delaware,6875,897.1
2002,All Causes,South Dakota,6898,778.6
2001,All Causes,South Dakota,6923,790
2009,All Causes,South Dakota,6923,706.2
1999,All Causes,South Dakota,6953,808.4
2000,All Causes,South Dakota,7021,805.7
2003,All Causes,Delaware,7070,852.9
2008,All Causes,South Dakota,7083,731.9
2006,All Causes,South Dakota,7084,752.5
2005,All Causes,South Dakota,7086,770.7
2013,All Causes,South Dakota,7099,679.3
2010,All Causes,South Dakota,7100,715.1
2001,All Causes,Delaware,7112,903.1
2003,All Causes,South Dakota,7132,796.6
2004,All Causes,Delaware,7143,838.2
2006,All Causes,Delaware,7204,795.7
2011,All Causes,South Dakota,7314,720.6
2007,All Causes,Delaware,7327,786.1
2012,All Causes,South Dakota,7333,712.3
2005,All Causes,Delaware,7472,851.4
2009,All Causes,Delaware,7534,768
