YEAR,CAUSE_NAME,region,DEATHS,AADR
1999,Cancer,Alabama,9506,210.9
1999,Cancer,Alaska,633,190.54
1999,Cancer,Arizona,9006,179.9
1999,Cancer,Arkansas,6137,214.07
1999,Cancer,California,53067,184.86
1999,Cancer,Colorado,5863,171.14
1999,Cancer,Connecticut,7054,191
1999,Cancer,Delaware,1737,223.29
1999,Cancer,District of Columbia,1340,241.35
1999,Cancer,Florida,38478,190.55
1999,Cancer,Georgia,13225,202.25
1999,Cancer,Hawaii,1916,156.58
1999,Cancer,Idaho,2162,186.36
1999,Cancer,Illinois,25024,210.41
1999,Cancer,Indiana,12898,217.36
1999,Cancer,Iowa,6346,189.13
1999,Cancer,Kansas,5334,192.38
1999,Cancer,Kentucky,8925,224.22
1999,Cancer,Louisiana,9412,230.48
1999,Cancer,Maine,3035,214.59
1999,Cancer,Maryland,10143,209.45
1999,Cancer,Massachusetts,13853,206.36
1999,Cancer,Michigan,19744,205.19
1999,Cancer,Minnesota,8892,187.02
1999,Cancer,Mississippi,6143,227.91
1999,Cancer,Missouri,12186,207.9
1999,Cancer,Montana,1854,195.09
1999,Cancer,Nebraska,3410,189.04
1999,Cancer,Nevada,3556,206.73
1999,Cancer,New Hampshire,2408,203.55
1999,Cancer,New Jersey,18178,209.26
1999,Cancer,New Mexico,2857,173.26
1999,Cancer,New York,37609,196.62
1999,Cancer,North Carolina,15815,207.12
1999,Cancer,North Dakota,1366,186.67
1999,Cancer,Ohio,25233,215.41
1999,Cancer,Oklahoma,7312,206.67
1999,Cancer,Oregon,6905,198.24
1999,Cancer,Pennsylvania,30312,209.52
1999,Cancer,Rhode Island,2463,210.32
1999,Cancer,South Carolina,8089,211.65
1999,Cancer,South Dakota,1632,197.43
1999,Cancer,Tennessee,11943,213.89
1999,Cancer,Texas,32755,196.05
1999,Cancer,Utah,2393,155.65
1999,Cancer,Vermont,1255,203.72
1999,Cancer,Virginia,13365,209.05
1999,Cancer,Washington,10653,198.31
1999,Cancer,West Virginia,4762,225.14
1999,Cancer,Wisconsin,10755,195.54
1999,Cancer,Wyoming,899,195.12
2000,Cancer,Alabama,9807,215.43
2000,Cancer,Alaska,704,208.2
2000,Cancer,Arizona,9073,177.87
2000,Cancer,Arkansas,6090,210.54
2000,Cancer,California,53158,182.12
2000,Cancer,Colorado,5922,169.96
2000,Cancer,Connecticut,7065,189.54
2000,Cancer,Delaware,1609,203.26
2000,Cancer,District of Columbia,1335,238.28
2000,Cancer,Florida,39183,191.56
2000,Cancer,Georgia,13690,206.66
2000,Cancer,Hawaii,1943,155.7
2000,Cancer,Idaho,2128,180.56
2000,Cancer,Illinois,25365,212.04
2000,Cancer,Indiana,12842,214.74
2000,Cancer,Iowa,6448,191.71
2000,Cancer,Kansas,5223,186.99
2000,Cancer,Kentucky,9207,228.66
2000,Cancer,Louisiana,9400,227.92
2000,Cancer,Maine,3070,213.62
2000,Cancer,Maryland,10290,209.69
2000,Cancer,Massachusetts,14027,207.21
2000,Cancer,Michigan,19798,203.95
2000,Cancer,Minnesota,9215,191.76
2000,Cancer,Mississippi,6075,223.63
2000,Cancer,Missouri,12144,205.86
2000,Cancer,Montana,1867,194.04
2000,Cancer,Nebraska,3382,186.18
2000,Cancer,Nevada,3763,213.61
2000,Cancer,New Hampshire,2484,206.94
2000,Cancer,New Jersey,18073,205.92
2000,Cancer,New Mexico,2906,172.29
2000,Cancer,New York,37198,192.22
2000,Cancer,North Carolina,15786,204.23
2000,Cancer,North Dakota,1346,183.68
2000,Cancer,Ohio,24988,212
2000,Cancer,Oklahoma,7402,207.42
2000,Cancer,Oregon,6951,197.33
2000,Cancer,Pennsylvania,30161,207.02
2000,Cancer,Rhode Island,2433,206.41
2000,Cancer,South Carolina,8250,212.64
2000,Cancer,South Dakota,1597,190.51
2000,Cancer,Tennessee,12339,218.81
2000,Cancer,Texas,33300,196.26
2000,Cancer,Utah,2359,151.19
2000,Cancer,Vermont,1240,198.03
2000,Cancer,Virginia,13528,208.55
2000,Cancer,Washington,10668,195.78
2000,Cancer,West Virginia,4753,223.9
2000,Cancer,Wisconsin,10638,191.68
2000,Cancer,Wyoming,868,185.51
2001,Cancer,Alabama,9801,213.04
2001,Cancer,Alaska,689,193.73
2001,Cancer,Arizona,9143,173.82
2001,Cancer,Arkansas,6092,208.81
2001,Cancer,California,53924,180.24
2001,Cancer,Colorado,6145,170.88
2001,Cancer,Connecticut,7093,187.58
2001,Cancer,Delaware,1786,220.98
2001,Cancer,District of Columbia,1327,237.51
2001,Cancer,Florida,39090,187.43
2001,Cancer,Georgia,13818,202.82
2001,Cancer,Hawaii,2024,157.24
2001,Cancer,Idaho,2093,172.75
2001,Cancer,Illinois,24778,205.11
2001,Cancer,Indiana,12831,211.92
2001,Cancer,Iowa,6404,188.94
2001,Cancer,Kansas,5448,193.8
2001,Cancer,Kentucky,9358,229.66
2001,Cancer,Louisiana,9517,228
2001,Cancer,Maine,3045,208.34
2001,Cancer,Maryland,10322,205.39
2001,Cancer,Massachusetts,13750,201.17
2001,Cancer,Michigan,19689,199.86
2001,Cancer,Minnesota,8967,183.76
2001,Cancer,Mississippi,5958,217.14
2001,Cancer,Missouri,12365,207.08
2001,Cancer,Montana,1956,199.4
2001,Cancer,Nebraska,3389,185.45
2001,Cancer,Nevada,3815,205.13
2001,Cancer,New Hampshire,2398,195.89
2001,Cancer,New Jersey,18165,204.44
2001,Cancer,New Mexico,2900,167.34
2001,Cancer,New York,36975,188.42
2001,Cancer,North Carolina,16065,202.74
2001,Cancer,North Dakota,1391,189.18
2001,Cancer,Ohio,24804,208.41
2001,Cancer,Oklahoma,7411,206.31
2001,Cancer,Oregon,7057,196.49
2001,Cancer,Pennsylvania,29914,204.4
2001,Cancer,Rhode Island,2398,202.49
2001,Cancer,South Carolina,8272,208.27
2001,Cancer,South Dakota,1590,188.53
2001,Cancer,Tennessee,12229,213.07
2001,Cancer,Texas,33488,192.61
2001,Cancer,Utah,2313,144.33
2001,Cancer,Vermont,1249,196.43
2001,Cancer,Virginia,13345,200.49
2001,Cancer,Washington,10802,194.16
2001,Cancer,West Virginia,4685,219.24
2001,Cancer,Wisconsin,10777,191.59
2001,Cancer,Wyoming,923,194.02
2002,Cancer,Alabama,9698,208.33
2002,Cancer,Alaska,715,189.84
2002,Cancer,Arizona,9359,173.22
2002,Cancer,Arkansas,6282,212.82
2002,Cancer,California,54143,177.27
2002,Cancer,Colorado,6384,173.7
2002,Cancer,Connecticut,7163,186.34
2002,Cancer,Delaware,1621,194.75
2002,Cancer,District of Columbia,1298,231.77
2002,Cancer,Florida,39140,183.83
2002,Cancer,Georgia,13975,200.03
2002,Cancer,Hawaii,1945,147.18
2002,Cancer,Idaho,2138,172.33
2002,Cancer,Illinois,24737,202.78
2002,Cancer,Indiana,12865,209.73
2002,Cancer,Iowa,6473,189.28
2002,Cancer,Kansas,5362,188.74
2002,Cancer,Kentucky,9438,228.56
2002,Cancer,Louisiana,9441,222.76
2002,Cancer,Maine,3206,214.89
2002,Cancer,Maryland,10395,202.16
2002,Cancer,Massachusetts,13914,201.44
2002,Cancer,Michigan,19985,199.91
2002,Cancer,Minnesota,9210,185.31
2002,Cancer,Mississippi,6069,218.84
2002,Cancer,Missouri,12322,204.1
2002,Cancer,Montana,1911,191.05
2002,Cancer,Nebraska,3433,186.13
2002,Cancer,Nevada,3937,201.28
2002,Cancer,New Hampshire,2529,201.82
2002,Cancer,New Jersey,17827,198.13
2002,Cancer,New Mexico,3067,173.16
2002,Cancer,New York,36661,184.44
2002,Cancer,North Carolina,16210,199.85
2002,Cancer,North Dakota,1293,175.54
2002,Cancer,Ohio,25173,208.96
2002,Cancer,Oklahoma,7474,205.74
2002,Cancer,Oregon,7249,197.29
2002,Cancer,Pennsylvania,29849,201.94
2002,Cancer,Rhode Island,2404,199.31
2002,Cancer,South Carolina,8333,205.79
2002,Cancer,South Dakota,1562,183.3
2002,Cancer,Tennessee,12518,214.61
2002,Cancer,Texas,34164,192.16
2002,Cancer,Utah,2376,144.37
2002,Cancer,Vermont,1224,188.33
2002,Cancer,Virginia,13602,199.95
2002,Cancer,Washington,10858,190.55
2002,Cancer,West Virginia,4652,215.23
2002,Cancer,Wisconsin,10828,189.64
2002,Cancer,Wyoming,859,177.12
2003,Cancer,Alabama,9812,208.24
2003,Cancer,Alaska,735,188.42
2003,Cancer,Arizona,9627,173.04
2003,Cancer,Arkansas,6119,205.11
2003,Cancer,California,54319,174
2003,Cancer,Colorado,6417,169.39
2003,Cancer,Connecticut,7131,183.02
2003,Cancer,Delaware,1719,201.54
2003,Cancer,District of Columbia,1122,200.89
2003,Cancer,Florida,39404,181.72
2003,Cancer,Georgia,14032,196.29
2003,Cancer,Hawaii,2133,157.4
2003,Cancer,Idaho,2321,181.82
2003,Cancer,Illinois,24464,198.24
2003,Cancer,Indiana,12933,207.5
2003,Cancer,Iowa,6469,187.84
2003,Cancer,Kansas,5332,185.94
2003,Cancer,Kentucky,9378,223.67
2003,Cancer,Louisiana,9533,221.81
2003,Cancer,Maine,3120,205.44
2003,Cancer,Maryland,10292,196.37
2003,Cancer,Massachusetts,13551,194.58
2003,Cancer,Michigan,19713,194.11
2003,Cancer,Minnesota,9183,181.74
2003,Cancer,Mississippi,5960,212.23
2003,Cancer,Missouri,12354,202.05
2003,Cancer,Montana,1847,181.73
2003,Cancer,Nebraska,3339,179
2003,Cancer,Nevada,4138,200.18
2003,Cancer,New Hampshire,2485,193.7
2003,Cancer,New Jersey,17957,197.27
2003,Cancer,New Mexico,3103,170.1
2003,Cancer,New York,36238,180.18
2003,Cancer,North Carolina,16145,193.87
2003,Cancer,North Dakota,1334,179.18
2003,Cancer,Ohio,25076,205.27
2003,Cancer,Oklahoma,7338,199.84
2003,Cancer,Oregon,7232,192.52
2003,Cancer,Pennsylvania,29841,199.97
2003,Cancer,Rhode Island,2328,192.07
2003,Cancer,South Carolina,8512,204.41
2003,Cancer,South Dakota,1636,190.27
2003,Cancer,Tennessee,12613,212.67
2003,Cancer,Texas,33867,186.12
2003,Cancer,Utah,2444,144.56
2003,Cancer,Vermont,1210,183.55
2003,Cancer,Virginia,13781,198.08
2003,Cancer,Washington,11064,190.39
2003,Cancer,West Virginia,4610,211.63
2003,Cancer,Wisconsin,10648,183.39
2003,Cancer,Wyoming,943,188.9
2004,Cancer,Alabama,9756,204.54
2004,Cancer,Alaska,728,184.23
2004,Cancer,Arizona,9618,167.53
2004,Cancer,Arkansas,6304,208.55
2004,Cancer,California,53700,169.19
2004,Cancer,Colorado,6196,159.36
2004,Cancer,Connecticut,7175,182.41
2004,Cancer,Delaware,1827,208.28
2004,Cancer,District of Columbia,1152,206.35
2004,Cancer,Florida,39840,179.44
2004,Cancer,Georgia,14313,195.46
2004,Cancer,Hawaii,2088,150.52
2004,Cancer,Idaho,2227,169.63
2004,Cancer,Illinois,24289,194.79
2004,Cancer,Indiana,12552,199.07
2004,Cancer,Iowa,6340,182.25
2004,Cancer,Kansas,5312,183.05
2004,Cancer,Kentucky,9159,215.48
2004,Cancer,Louisiana,9434,216.26
2004,Cancer,Maine,3124,202.23
2004,Cancer,Maryland,10168,190.47
2004,Cancer,Massachusetts,13337,190.1
2004,Cancer,Michigan,19653,190.92
2004,Cancer,Minnesota,9093,176.96
2004,Cancer,Mississippi,5983,209.83
2004,Cancer,Missouri,12450,201.11
2004,Cancer,Montana,1867,179.63
2004,Cancer,Nebraska,3270,173.74
2004,Cancer,Nevada,4119,191.89
2004,Cancer,New Hampshire,2554,194.77
2004,Cancer,New Jersey,17208,187.05
2004,Cancer,New Mexico,3036,162.46
2004,Cancer,New York,36100,177.77
2004,Cancer,North Carolina,16477,193.67
2004,Cancer,North Dakota,1265,166.82
2004,Cancer,Ohio,24940,202.13
2004,Cancer,Oklahoma,7269,196.03
2004,Cancer,Oregon,7236,188.82
2004,Cancer,Pennsylvania,29424,196.05
2004,Cancer,Rhode Island,2418,196.84
2004,Cancer,South Carolina,8348,195.82
2004,Cancer,South Dakota,1555,177.48
2004,Cancer,Tennessee,12586,208.14
2004,Cancer,Texas,33937,182.09
2004,Cancer,Utah,2445,141.06
2004,Cancer,Vermont,1212,179.47
2004,Cancer,Virginia,13385,188.51
2004,Cancer,Washington,10989,184.62
2004,Cancer,West Virginia,4694,212.15
2004,Cancer,Wisconsin,10861,184.66
2004,Cancer,Wyoming,875,171.67
2005,Cancer,Alabama,9913,204.36
2005,Cancer,Alaska,732,170.97
2005,Cancer,Arizona,9820,164.23
2005,Cancer,Arkansas,6361,207.68
2005,Cancer,California,54732,168.94
2005,Cancer,Colorado,6395,159.71
2005,Cancer,Connecticut,7052,176.81
2005,Cancer,Delaware,1799,199.1
2005,Cancer,District of Columbia,1151,205.27
2005,Cancer,Florida,40592,178.38
2005,Cancer,Georgia,14358,189.86
2005,Cancer,Hawaii,2169,151.26
2005,Cancer,Idaho,2368,174.6
2005,Cancer,Illinois,24250,192.12
2005,Cancer,Indiana,12796,199.83
2005,Cancer,Iowa,6453,183.72
2005,Cancer,Kansas,5428,185.58
2005,Cancer,Kentucky,9505,219.06
2005,Cancer,Louisiana,9249,208.55
2005,Cancer,Maine,3218,204.8
